question_id,book_id,book,chapter,verse_reference,verse_start,difficulty,difficulty_rank,question_type,ui_type,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,accepted_answers,explanation,fact_id,variant_index,tags,translation,source_mode,source_url,review_status,active
PRO-01-EZ-011,PRO,Proverbs,1,Proverbs 1:1,1,Easy,1,true_false,single_select,True or false: The book opens by identifying Solomon as David's son and king of Israel.,True,False,,,A,True,True|T,This matches Proverbs 1:1.,PRO-01-F01,2,people;authorship,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-EZ-012,PRO,Proverbs,1,Proverbs 1:7,7,Easy,1,true_false,single_select,True or false: Reverence for the LORD is presented as the starting point of knowledge.,True,False,,,A,True,True|T,This matches Proverbs 1:7.,PRO-01-F02,2,wisdom;fear_of_the_lord,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-EZ-013,PRO,Proverbs,1,Proverbs 1:7,7,Easy,1,true_false,single_select,True or false: Fools reject both wisdom and instruction.,True,False,,,A,True,True|T,This matches Proverbs 1:7.,PRO-01-F03,2,fools;instruction,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-EZ-014,PRO,Proverbs,1,Proverbs 1:8,8,Easy,1,true_false,single_select,True or false: A son is urged to listen to his father's instruction.,True,False,,,A,True,True|T,This matches Proverbs 1:8.,PRO-01-F04,2,family;instruction,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-EZ-015,PRO,Proverbs,1,Proverbs 1:8,8,Easy,1,true_false,single_select,True or false: A son is told not to abandon his mother's teaching.,True,False,,,A,True,True|T,This matches Proverbs 1:8.,PRO-01-F05,2,family;instruction,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-EZ-016,PRO,Proverbs,1,Proverbs 1:10,10,Easy,1,true_false,single_select,True or false: The son is warned not to agree when sinners try to lure him.,True,False,,,A,True,True|T,This matches Proverbs 1:10.,PRO-01-F06,2,temptation;sin,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-EZ-017,PRO,Proverbs,1,Proverbs 1:14,14,Easy,1,true_false,single_select,True or false: The enticers propose sharing one common purse.,True,False,,,A,True,True|T,This matches Proverbs 1:14.,PRO-01-F07,2,greed;temptation,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-EZ-018,PRO,Proverbs,1,Proverbs 1:20,20,Easy,1,true_false,single_select,True or false: Wisdom is personified as calling out publicly.,True,False,,,A,True,True|T,This matches Proverbs 1:20.,PRO-01-F08,2,wisdom;personification,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-EZ-019,PRO,Proverbs,1,Proverbs 1:22,22,Easy,1,true_false,single_select,"True or false: Wisdom addresses the simple, scorners, and fools.",True,False,,,A,True,True|T,This matches Proverbs 1:22.,PRO-01-F09,2,wisdom;groups,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-EZ-020,PRO,Proverbs,1,Proverbs 1:33,33,Easy,1,true_false,single_select,True or false: Listening to Wisdom is associated with secure living without dread of evil.,True,False,,,A,True,True|T,This matches Proverbs 1:33.,PRO-01-F10,2,wisdom;security,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-EZ-021,PRO,Proverbs,1,Proverbs 1:1,1,Easy,1,short_answer,text,Who is named at the opening of Proverbs as David's son and Israel's king?,,,,,,Solomon,Solomon,The book opens by identifying Solomon as David's son and king of Israel. See Proverbs 1:1.,PRO-01-F01,3,people;authorship,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-EZ-022,PRO,Proverbs,1,Proverbs 1:7,7,Easy,1,short_answer,text,What does Proverbs 1:7 call the beginning of knowledge?,,,,,,The fear of the LORD,The fear of the LORD,Reverence for the LORD is presented as the starting point of knowledge. See Proverbs 1:7.,PRO-01-F02,3,wisdom;fear_of_the_lord,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-EZ-023,PRO,Proverbs,1,Proverbs 1:7,7,Easy,1,short_answer,text,What two things do fools despise in Proverbs 1:7?,,,,,,Wisdom and instruction,Wisdom and instruction,Fools reject both wisdom and instruction. See Proverbs 1:7.,PRO-01-F03,3,fools;instruction,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-EZ-024,PRO,Proverbs,1,Proverbs 1:8,8,Easy,1,short_answer,text,Whose instruction is the son told to hear?,,,,,,His father's instruction,His father's instruction,A son is urged to listen to his father's instruction. See Proverbs 1:8.,PRO-01-F04,3,family;instruction,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-EZ-025,PRO,Proverbs,1,Proverbs 1:8,8,Easy,1,short_answer,text,Whose law is the son told not to forsake?,,,,,,His mother's law,His mother's law,A son is told not to abandon his mother's teaching. See Proverbs 1:8.,PRO-01-F05,3,family;instruction,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-MD-001,PRO,Proverbs,1,Proverbs 1:1,1,Medium,2,reference_lookup,single_select,Which reference in Proverbs 1 is associated with this teaching? The book opens by identifying Solomon as David's son and king of Israel.,Proverbs 1:8,Proverbs 1:10,Proverbs 1:7,Proverbs 1:1,D,Proverbs 1:1,Proverbs 1:1,The matching reference is Proverbs 1:1.,PRO-01-F01,1,people;authorship,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-MD-002,PRO,Proverbs,1,Proverbs 1:7,7,Medium,2,reference_lookup,single_select,Which reference in Proverbs 1 is associated with this teaching? Reverence for the LORD is presented as the starting point of knowledge.,Proverbs 1:10,Proverbs 1:8,Proverbs 1:1,Proverbs 1:7,D,Proverbs 1:7,Proverbs 1:7,The matching reference is Proverbs 1:7.,PRO-01-F02,1,wisdom;fear_of_the_lord,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-MD-003,PRO,Proverbs,1,Proverbs 1:7,7,Medium,2,reference_lookup,single_select,Which reference in Proverbs 1 is associated with this teaching? Fools reject both wisdom and instruction.,Proverbs 1:7,Proverbs 1:1,Proverbs 1:10,Proverbs 1:8,A,Proverbs 1:7,Proverbs 1:7,The matching reference is Proverbs 1:7.,PRO-01-F03,1,fools;instruction,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-MD-004,PRO,Proverbs,1,Proverbs 1:8,8,Medium,2,reference_lookup,single_select,Which reference in Proverbs 1 is associated with this teaching? A son is urged to listen to his father's instruction.,Proverbs 1:7,Proverbs 1:8,Proverbs 1:1,Proverbs 1:10,B,Proverbs 1:8,Proverbs 1:8,The matching reference is Proverbs 1:8.,PRO-01-F04,1,family;instruction,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-MD-005,PRO,Proverbs,1,Proverbs 1:8,8,Medium,2,reference_lookup,single_select,Which reference in Proverbs 1 is associated with this teaching? A son is told not to abandon his mother's teaching.,Proverbs 1:7,Proverbs 1:8,Proverbs 1:10,Proverbs 1:1,B,Proverbs 1:8,Proverbs 1:8,The matching reference is Proverbs 1:8.,PRO-01-F05,1,family;instruction,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-MD-006,PRO,Proverbs,1,Proverbs 1:10,10,Medium,2,reference_lookup,single_select,Which reference in Proverbs 1 is associated with this teaching? The son is warned not to agree when sinners try to lure him.,Proverbs 1:8,Proverbs 1:7,Proverbs 1:1,Proverbs 1:10,D,Proverbs 1:10,Proverbs 1:10,The matching reference is Proverbs 1:10.,PRO-01-F06,1,temptation;sin,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-MD-007,PRO,Proverbs,1,Proverbs 1:14,14,Medium,2,reference_lookup,single_select,Which reference in Proverbs 1 is associated with this teaching? The enticers propose sharing one common purse.,Proverbs 1:8,Proverbs 1:14,Proverbs 1:1,Proverbs 1:7,B,Proverbs 1:14,Proverbs 1:14,The matching reference is Proverbs 1:14.,PRO-01-F07,1,greed;temptation,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-MD-008,PRO,Proverbs,1,Proverbs 1:20,20,Medium,2,reference_lookup,single_select,Which reference in Proverbs 1 is associated with this teaching? Wisdom is personified as calling out publicly.,Proverbs 1:20,Proverbs 1:7,Proverbs 1:1,Proverbs 1:8,A,Proverbs 1:20,Proverbs 1:20,The matching reference is Proverbs 1:20.,PRO-01-F08,1,wisdom;personification,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-MD-009,PRO,Proverbs,1,Proverbs 1:22,22,Medium,2,reference_lookup,single_select,"Which reference in Proverbs 1 is associated with this teaching? Wisdom addresses the simple, scorners, and fools.",Proverbs 1:8,Proverbs 1:22,Proverbs 1:7,Proverbs 1:1,B,Proverbs 1:22,Proverbs 1:22,The matching reference is Proverbs 1:22.,PRO-01-F09,1,wisdom;groups,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-MD-010,PRO,Proverbs,1,Proverbs 1:33,33,Medium,2,reference_lookup,single_select,Which reference in Proverbs 1 is associated with this teaching? Listening to Wisdom is associated with secure living without dread of evil.,Proverbs 1:33,Proverbs 1:8,Proverbs 1:7,Proverbs 1:1,A,Proverbs 1:33,Proverbs 1:33,The matching reference is Proverbs 1:33.,PRO-01-F10,1,wisdom;security,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-MD-011,PRO,Proverbs,1,Proverbs 1:1,1,Medium,2,statement_match,single_select,Which paraphrased teaching best matches Proverbs 1:1?,The book opens by identifying Solomon as David's son and king of Israel.,Fools reject both wisdom and instruction.,A son is urged to listen to his father's instruction.,Reverence for the LORD is presented as the starting point of knowledge.,A,The book opens by identifying Solomon as David's son and king of Israel.,The book opens by identifying Solomon as David's son and king of Israel.,The book opens by identifying Solomon as David's son and king of Israel.,PRO-01-F01,2,people;authorship,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-MD-012,PRO,Proverbs,1,Proverbs 1:7,7,Medium,2,statement_match,single_select,Which paraphrased teaching best matches Proverbs 1:7?,The book opens by identifying Solomon as David's son and king of Israel.,Reverence for the LORD is presented as the starting point of knowledge.,A son is urged to listen to his father's instruction.,Fools reject both wisdom and instruction.,B,Reverence for the LORD is presented as the starting point of knowledge.,Reverence for the LORD is presented as the starting point of knowledge.,Reverence for the LORD is presented as the starting point of knowledge.,PRO-01-F02,2,wisdom;fear_of_the_lord,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-MD-013,PRO,Proverbs,1,Proverbs 1:7,7,Medium,2,statement_match,single_select,Which paraphrased teaching best matches Proverbs 1:7?,Reverence for the LORD is presented as the starting point of knowledge.,The book opens by identifying Solomon as David's son and king of Israel.,A son is urged to listen to his father's instruction.,Fools reject both wisdom and instruction.,D,Fools reject both wisdom and instruction.,Fools reject both wisdom and instruction.,Fools reject both wisdom and instruction.,PRO-01-F03,2,fools;instruction,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-MD-014,PRO,Proverbs,1,Proverbs 1:8,8,Medium,2,statement_match,single_select,Which paraphrased teaching best matches Proverbs 1:8?,A son is urged to listen to his father's instruction.,Fools reject both wisdom and instruction.,Reverence for the LORD is presented as the starting point of knowledge.,The book opens by identifying Solomon as David's son and king of Israel.,A,A son is urged to listen to his father's instruction.,A son is urged to listen to his father's instruction.,A son is urged to listen to his father's instruction.,PRO-01-F04,2,family;instruction,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-MD-015,PRO,Proverbs,1,Proverbs 1:8,8,Medium,2,statement_match,single_select,Which paraphrased teaching best matches Proverbs 1:8?,The book opens by identifying Solomon as David's son and king of Israel.,Fools reject both wisdom and instruction.,Reverence for the LORD is presented as the starting point of knowledge.,A son is told not to abandon his mother's teaching.,D,A son is told not to abandon his mother's teaching.,A son is told not to abandon his mother's teaching.,A son is told not to abandon his mother's teaching.,PRO-01-F05,2,family;instruction,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-MD-016,PRO,Proverbs,1,Proverbs 1:10,10,Medium,2,statement_match,single_select,Which paraphrased teaching best matches Proverbs 1:10?,The book opens by identifying Solomon as David's son and king of Israel.,Reverence for the LORD is presented as the starting point of knowledge.,Fools reject both wisdom and instruction.,The son is warned not to agree when sinners try to lure him.,D,The son is warned not to agree when sinners try to lure him.,The son is warned not to agree when sinners try to lure him.,The son is warned not to agree when sinners try to lure him.,PRO-01-F06,2,temptation;sin,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-MD-017,PRO,Proverbs,1,Proverbs 1:14,14,Medium,2,statement_match,single_select,Which paraphrased teaching best matches Proverbs 1:14?,The enticers propose sharing one common purse.,Reverence for the LORD is presented as the starting point of knowledge.,Fools reject both wisdom and instruction.,The book opens by identifying Solomon as David's son and king of Israel.,A,The enticers propose sharing one common purse.,The enticers propose sharing one common purse.,The enticers propose sharing one common purse.,PRO-01-F07,2,greed;temptation,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-MD-018,PRO,Proverbs,1,Proverbs 1:20,20,Medium,2,statement_match,single_select,Which paraphrased teaching best matches Proverbs 1:20?,Wisdom is personified as calling out publicly.,Fools reject both wisdom and instruction.,Reverence for the LORD is presented as the starting point of knowledge.,The book opens by identifying Solomon as David's son and king of Israel.,A,Wisdom is personified as calling out publicly.,Wisdom is personified as calling out publicly.,Wisdom is personified as calling out publicly.,PRO-01-F08,2,wisdom;personification,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-MD-019,PRO,Proverbs,1,Proverbs 1:22,22,Medium,2,statement_match,single_select,Which paraphrased teaching best matches Proverbs 1:22?,Fools reject both wisdom and instruction.,"Wisdom addresses the simple, scorners, and fools.",Reverence for the LORD is presented as the starting point of knowledge.,The book opens by identifying Solomon as David's son and king of Israel.,B,"Wisdom addresses the simple, scorners, and fools.","Wisdom addresses the simple, scorners, and fools.","Wisdom addresses the simple, scorners, and fools.",PRO-01-F09,2,wisdom;groups,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-MD-020,PRO,Proverbs,1,Proverbs 1:33,33,Medium,2,statement_match,single_select,Which paraphrased teaching best matches Proverbs 1:33?,The book opens by identifying Solomon as David's son and king of Israel.,Reverence for the LORD is presented as the starting point of knowledge.,Fools reject both wisdom and instruction.,Listening to Wisdom is associated with secure living without dread of evil.,D,Listening to Wisdom is associated with secure living without dread of evil.,Listening to Wisdom is associated with secure living without dread of evil.,Listening to Wisdom is associated with secure living without dread of evil.,PRO-01-F10,2,wisdom;security,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-MD-021,PRO,Proverbs,1,Proverbs 1:1,1,Medium,2,short_answer,text,Give the key answer from Proverbs 1:1: Who is named at the opening of Proverbs as David's son and Israel's king?,,,,,,Solomon,Solomon,The book opens by identifying Solomon as David's son and king of Israel.,PRO-01-F01,3,people;authorship,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-MD-022,PRO,Proverbs,1,Proverbs 1:7,7,Medium,2,short_answer,text,Give the key answer from Proverbs 1:7: What does Proverbs 1:7 call the beginning of knowledge?,,,,,,The fear of the LORD,The fear of the LORD,Reverence for the LORD is presented as the starting point of knowledge.,PRO-01-F02,3,wisdom;fear_of_the_lord,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-MD-023,PRO,Proverbs,1,Proverbs 1:7,7,Medium,2,short_answer,text,Give the key answer from Proverbs 1:7: What two things do fools despise in Proverbs 1:7?,,,,,,Wisdom and instruction,Wisdom and instruction,Fools reject both wisdom and instruction.,PRO-01-F03,3,fools;instruction,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-MD-024,PRO,Proverbs,1,Proverbs 1:8,8,Medium,2,short_answer,text,Give the key answer from Proverbs 1:8: Whose instruction is the son told to hear?,,,,,,His father's instruction,His father's instruction,A son is urged to listen to his father's instruction.,PRO-01-F04,3,family;instruction,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-MD-025,PRO,Proverbs,1,Proverbs 1:8,8,Medium,2,short_answer,text,Give the key answer from Proverbs 1:8: Whose law is the son told not to forsake?,,,,,,His mother's law,His mother's law,A son is told not to abandon his mother's teaching.,PRO-01-F05,3,family;instruction,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-HD-001,PRO,Proverbs,1,Proverbs 1:1,1,Hard,3,pair_match,single_select,Which reference-and-teaching pairing is correctly matched in Proverbs 1?,Proverbs 1:1 — The book opens by identifying Solomon as David's son and king of Israel.,Proverbs 1:1 — Fools reject both wisdom and instruction.,Proverbs 1:1 — A son is urged to listen to his father's instruction.,Proverbs 1:1 — Reverence for the LORD is presented as the starting point of knowledge.,A,Proverbs 1:1 — The book opens by identifying Solomon as David's son and king of Israel.,Proverbs 1:1 — The book opens by identifying Solomon as David's son and king of Israel.,Proverbs 1:1 is the matching reference for this teaching.,PRO-01-F01,1,people;authorship,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-HD-002,PRO,Proverbs,1,Proverbs 1:7,7,Hard,3,pair_match,single_select,Which reference-and-teaching pairing is correctly matched in Proverbs 1?,Proverbs 1:7 — A son is urged to listen to his father's instruction.,Proverbs 1:7 — The book opens by identifying Solomon as David's son and king of Israel.,Proverbs 1:7 — Reverence for the LORD is presented as the starting point of knowledge.,Proverbs 1:7 — Fools reject both wisdom and instruction.,C,Proverbs 1:7 — Reverence for the LORD is presented as the starting point of knowledge.,Proverbs 1:7 — Reverence for the LORD is presented as the starting point of knowledge.,Proverbs 1:7 is the matching reference for this teaching.,PRO-01-F02,1,wisdom;fear_of_the_lord,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
PRO-01-HD-003,PRO,Proverbs,1,Proverbs 1:7,7,Hard,3,pair_match,single_select,Which reference-and-teaching pairing is correctly matched in Proverbs 1?,Proverbs 1:7 — Fools reject both wisdom and instruction.,Proverbs 1:7 — The book opens by identifying Solomon as David's son and king of Israel.,Proverbs 1:7 — Reverence for the LORD is presented as the starting point of knowledge.,Proverbs 1:7 — A son is urged to listen to his father's instruction.,A,Proverbs 1:7 — Fools reject both wisdom and instruction.,Proverbs 1:7 — Fools reject both wisdom and instruction.,Proverbs 1:7 is the matching reference for this teaching.,PRO-01-F03,1,fools;instruction,NKJV,Paraphrased from NKJV reference; no bulk verse text stored,https://www.biblegateway.com/passage/?search=Proverbs+1&version=NKJV,source-grounded-v1,TRUE
